Random Col 1,Question,Answer
ef,What is your name?,Austin
gerg,What is your quest?,To answer questionnaires
wwr,What is your favorite color?,Purple
eighty five,What is the velocity of an unladen swallow?,i dont know that!
vfvfverv,What is the best american football team ever?,The New England Patriots
otpy,What be a pirates favorite letter?,R
the horse in the barn!,What is your favorite animal?,Crow
ttylxox,What is the difference between speed and velocity?,"Velocity has a direction, speed is an absolute value."
bfrg,What is the worst football team ever?,New York Jets
dryfjk,Who's the CEO of Circle?,Jeremy Allaire
suiddn, How old are you?,23
