Question,Random,Answer
What is the airspeed velocity of an unladen swallow?,stablecoins,African or European?
What is your like favorite shade of color?,ernugofw,Violet
What's pirates favorite letter?,ninety two,"You may think it be R, but it's true love be the C."
What's your name?,omg its more random data,Austin Bennett
What is the difference between speed and velocity?,battery eraser stapler,
What is the worst football team ever? And I want you to speak freely my guy.,reghuprnvv,The New York Jets of course!
Why are there so many songs about rainbows and what's on the other side?,kermitdafrog,"rainbows are visions, but only illusions and rainbows have nothing to hide."
Cuantos años tienes?,hwfuei,25
What is the best american football team to ever exist?,:),The Pats
Do you have a quest or journey?,"fr,e",So i'm like the questionnaire filler. I fill questionnaires with answers.
What is your favorite animal?,"eoitk,rle",Crow
